agent_type,difficulty,reward,blue_def_avg_dist,blue_positions,blue_score_per_tag,blue_total_dist,red_def_avg_dist,red_positions,red_score_per_tag,red_total_dist
0,easy,1,49.016176118437684,,0.0,0.0,44.563026355680734,,0.0,13.403248264003462
0,medium,1,52.508383954215596,,0.0,0.0,45.82865931008016,,0.0,13.400079323980375
0,hard,1,42.75347174604529,,0.0,0.0,41.61369935938045,,0.0,26.8039677683525
1,easy,1,41.83857356645782,,0.0,23.030944708539643,40.59909113473408,,0.0,13.405408961734741
1,easy,2,39.75890050012782,,0.0,23.244874311185256,39.75890050012782,,0.0,13.405295997531969
1,medium,1,39.52276382822424,,0.0,22.37303029046503,39.52276382822424,,0.0,13.413567530343723
1,medium,2,44.07475599263326,,0.0,23.333547346344478,44.07475599263326,,0.0,13.398860777755463
1,hard,1,27.18217705692059,,0.0,24.48154228188157,31.267624670591307,,0.0,26.801579361005242
1,hard,2,49.24064660925575,,0.0,22.344734007907814,39.5657261195855,,0.0,26.766512354546023
2,easy,1,55.380050830880734,,0.0,6.650261630675869,67.39541010537455,,0.0,11.76331380765213
2,easy,2,75.51615655861934,,0.0,7.7359371780650745,75.51615655861934,,0.0,13.409367182061406
2,medium,1,68.07325165918613,,0.0,8.094316593177862,73.52775268464725,,0.0,12.452043005034149
2,medium,2,57.02391002795106,,0.0,8.231012509973851,53.99317476315751,,0.0,13.40398398184621
2,hard,1,62.72847167437241,,0.0,8.692838947644399,64.01054211487407,,0.0,26.565645170045457
2,hard,2,45.136175319164835,,0.0,7.440904034320847,46.38764602188052,,0.0,26.796478584436773
