agent_type,difficulty,reward,blue_agr_avg_dist,blue_def_avg_dist,blue_defagr_dist,blue_positions,blue_score_per_tag,blue_total_dist,red_agr_avg_dist,red_def_avg_dist,red_defagr_dist,red_positions,red_score_per_tag,red_total_dist,tag_positions
0,easy,1,22.019349138303333,22.43520217933795,0.12425424831937341,,0.0,0.0,83.23994797138492,25.36909116542629,0.30357149310105613,,2.779680927353259,9103.255779312509,
0,medium,1,22.11148177891351,22.863869941998143,0.12570992969990077,,0.0,0.0,83.23994797138492,25.570770678185713,0.304135204476305,,2.7781011289364232,9091.541048198314,
0,hard,1,22.345757604233498,28.115636284642328,0.1410438837186485,,0.0,0.0,83.23994797138492,31.147245169759817,0.3197219245237466,,5.622719865274044,17836.88436368662,
1,easy,1,64.04243129679976,18.220555039307527,0.22993203684959024,,1.9833798997936936,16629.609504519183,4.600392855491793,22.714326937588897,0.07634696280460929,,0.047994072117439994,9619.765256067461,
1,easy,2,25.877396962850867,24.44219438502731,0.14064753356733234,,0.006701482897135072,15563.875391393467,49.84993118273464,28.00131350920193,0.21760084408017474,,0.8989320918159927,9439.416204864492,
1,medium,1,78.35550139794998,14.787911426249197,0.2603437534140436,,1.7794814638251792,16613.52763048676,6.004564525311402,21.891385336038287,0.07797155023362969,,0.0,9237.349926898967,
1,medium,2,30.348876251666198,23.66116200892779,0.15096264627256578,,0.004992607392607392,15589.715782847203,49.34321916731012,27.74623102243106,0.21547156371543166,,0.8042639173691805,9502.599273129334,
1,hard,1,66.45721014707507,15.480299021681391,0.22902230051043973,,1.6026855338302783,16635.583659936656,7.30868531851166,23.505275755099774,0.08612763952078448,,0.3143326213689991,17862.683522661802,
1,hard,2,26.865382877173143,27.779877605393505,0.15273814635900249,,0.0,15529.689097305069,46.845876375497234,35.05708359675353,0.22892573257049617,,1.8754131860571486,17825.16930802455,
2,easy,1,22.55655659068848,22.348803906369604,0.1255142982819445,,0.026797433808041324,5260.34562996404,67.42090754862492,26.16013936859274,0.2615669778906198,,1.9560007189920503,9239.071400041903,
2,easy,2,22.082194217611068,22.851450481171664,0.12559335502912655,,0.000625,5150.495264320654,78.55574978075165,26.196651785591776,0.2927918633858741,,2.0442303798787176,9208.802047667135,
2,medium,1,23.68057300954606,22.673848403415658,0.1295645466713178,,0.012760200016950586,5282.504639959643,66.91255654062688,25.579762828630802,0.2585238918828508,,1.924125847653342,9244.655065662015,
2,medium,2,22.34125551889245,23.107418252540043,0.12703290505016848,,0.0,5161.657802766772,79.12944600456419,26.278934375355632,0.29462537990956983,,1.9464937242428832,9214.909260717546,
2,hard,1,24.8465626920402,27.772959426338247,0.14707603550030993,,0.0,5281.456630873397,65.10359303801884,31.356391136512528,0.26961385215350764,,3.480086626050249,17833.408951593367,
2,hard,2,22.98156895099547,27.97904976138041,0.1424392595204003,,0.0,5141.838267092072,78.0935981465276,31.394848729160884,0.3060295124561423,,3.712351738217064,17834.941494813385,
